frame_no,frametime_original,frametime,in_slot_0,in_slot_1,in_slot_2,in_slot_3,out_slot_0,out_slot_1,out_slot_2,out_slot_3,measured_utilization_lot_0,measured_utilization_lot_1,measured_utilization_lot_2,measured_utilization_lot_3,avg_measured_utilization_of_total,avg_measured_unused_of_total,agg_net_space_util,agg_unused_space,spots_occupied,times_parking_in_use,times_parking_in_full_use,accumulated_used_slots_no_vehicles,avg_space_util_per_slot,avg_measured_unused_per_slot,net_util_at_full_capacity,net_util_of_used_lots,accum_time_used_slot_0_per_vehicle,accum_time_used_slot_1_per_vehicle,accum_time_used_slot_2_per_vehicle,accum_time_used_slot_3_per_vehicle,final_time_used_slot_0_per_vehicle,final_time_used_slot_1_per_vehicle,final_time_used_slot_2_per_vehicle,final_time_used_slot_3_per_vehicle,total_used_sec_slot_0,total_used_sec_slot_1,total_used_sec_slot_2,total_used_sec_slot_3,total_used_sec_slot_0_wrk_hrs,total_used_sec_slot_1_wrk_hrs,total_used_sec_slot_2_wrk_hrs,total_used_sec_slot_3_wrk_hrs,coordinate_end_slot_0,coordinate_end_slot_1,coordinate_end_slot_2,coordinate_end_slot_3,coordinate_start_slot_0,coordinate_start_slot_1,coordinate_start_slot_2,coordinate_start_slot_3,,,,,,,,,,,,,,,,,
1,7/11/17 4:00,4:00:00,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,4.00,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0,0,,,,,0,0,0,0,0,0,0,0,185,530,930,1255,185,530,930,1255,,,,,,,,,,,,,,,,,
2,7/11/17 4:00,4:00:15,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,4.00,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0,0,,,,,0,0,0,0,0,0,0,0,185,530,930,1255,185,530,930,1255,,,,,,,,,,,,,,,,,
3,7/11/17 4:00,4:00:30,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,4.00,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0,0,,,,,0,0,0,0,0,0,0,0,185,530,930,1255,185,530,930,1255,,,,,,,,,,,,,,,,,
4,7/11/17 4:00,4:00:45,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,4.00,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0,0,,,,,0,0,0,0,0,0,0,0,185,530,930,1255,185,530,930,1255,,,,,,,,,,,,,,,,,
5,7/11/17 4:01,4:01:00,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,4.00,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0,0,,,,,0,0,0,0,0,0,0,0,185,530,930,1255,185,530,930,1255,,,,,,,,,,,,,,,,,
6,7/11/17 4:01,4:01:15,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,4.00,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0,0,,,,,0,0,0,0,0,0,0,0,185,530,930,1255,185,530,930,1255,,,,,,,,,,,,,,,,,
7,7/11/17 4:01,4:01:30,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,4.00,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0,0,,,,,0,0,0,0,0,0,0,0,185,530,930,1255,185,530,930,1255,,,,,,,,,,,,,,,,,
8,7/11/17 4:01,4:01:45,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,4.00,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0,0,,,,,0,0,0,0,0,0,0,0,185,530,930,1255,185,530,930,1255,,,,,,,,,,,,,,,,,
9,7/11/17 4:02,4:02:00,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,4.00,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0,0,,,,,0,0,0,0,0,0,0,0,185,530,930,1255,185,530,930,1255,,,,,,,,,,,,,,,,,
10,7/11/17 4:02,4:02:15,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,4.00,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0,0,,,,,0,0,0,0,0,0,0,0,185,530,930,1255,185,530,930,1255,,,,,,,,,,,,,,,,,
11,7/11/17 4:02,4:02:30,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,4.00,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0,0,,,,,0,0,0,0,0,0,0,0,185,530,930,1255,185,530,930,1255,,,,,,,,,,,,,,,,,
12,7/11/17 4:02,4:02:45,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,4.00,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0,0,,,,,0,0,0,0,0,0,0,0,185,530,930,1255,185,530,930,1255,,,,,,,,,,,,,,,,,
